lr | lambda | inverse_beta | M | wdecay | opt-rate| regret
0.1 | 0.01| 1e-05 | 10 | 0.0001 | 0.141 | 0.12977446896397565
0.1 | 0.01| 0.001 | 100 | 0.001 | 0.09356190476190476 | 0.2502993923831328
0.1 | 0.01| 1e-05 | 20 | 0.0001 | 0.183 | 0.08528176447012333
0.1 | 0.01| 1e-06 | 50 | 0.0001 | 0.213 | 0.06944480631026635
0.1 | 0.01| 0.0001 | 1 | 0.0001 | 0.115 | 0.17129756222501868
0.1 | 0.01| 0.0001 | 10 | 0.0001 | 0.123 | 0.18476418858573468
0.1 | 0.01| 1e-06 | 100 | 0.0001 | 0.216 | 0.06909571021735884
0.1 | 0.01| 0.0001 | 20 | 0.0001 | 0.116 | 0.17346609644544017
0.1 | 0.01| 1e-05 | 50 | 0.0001 | 0.177 | 0.10577277306833406
0.1 | 0.01| 0.001 | 1 | 0.0001 | 0.10850476190476191 | 0.23696807052420338
0.1 | 0.01| 0.001 | 10 | 0.0001 | 0.09923571428571429 | 0.24724476673336607
0.1 | 0.01| 1e-05 | 100 | 0.0001 | 0.1845 | 0.10172615732430318
0.1 | 0.01| 0.0001 | 50 | 0.0001 | 0.12 | 0.18980997490256568
0.1 | 0.01| 0.001 | 20 | 0.0001 | 0.09728055555555556 | 0.2429025788149743
0.05 | 0.01| 1e-06 | 1 | 0.1 | 0.09985833333333335 | 0.24183548307867767
0.05 | 0.01| 1e-06 | 10 | 0.1 | 0.10006666666666669 | 0.2420270591814432
0.1 | 0.01| 0.0001 | 100 | 0.0001 | 0.12 | 0.16678389716620476
0.05 | 0.01| 1e-06 | 20 | 0.1 | 0.09980793650793653 | 0.2424573547230554
0.1 | 0.01| 0.001 | 50 | 0.0001 | 0.09985555555555559 | 0.24192813489783685
0.05 | 0.01| 1e-05 | 1 | 0.1 | 0.084 | 0.27763186320359035
0.05 | 0.01| 1e-05 | 10 | 0.1 | 0.10308333333333333 | 0.24751509621175966
0.05 | 0.01| 1e-05 | 20 | 0.1 | 0.10475 | 0.2482432351958228
0.1 | 0.01| 0.001 | 100 | 0.0001 | 0.10000000000000002 | 0.2420084686883025
0.05 | 0.01| 1e-06 | 50 | 0.1 | 0.09990000000000002 | 0.24204623053475252
0.05 | 0.01| 0.0001 | 1 | 0.1 | 0.088 | 0.27164857006307597
0.05 | 0.01| 0.0001 | 10 | 0.1 | 0.097 | 0.24759643801869335
0.05 | 0.01| 1e-06 | 100 | 0.1 | 0.09989444444444447 | 0.24225164430027535
0.05 | 0.01| 0.0001 | 20 | 0.1 | 0.1 | 0.2450821977351315
0.05 | 0.01| 1e-05 | 50 | 0.1 | 0.09194999999999999 | 0.2486107283203216
0.05 | 0.01| 0.001 | 1 | 0.1 | 0.104 | 0.2588675350221215
0.05 | 0.01| 0.001 | 10 | 0.1 | 0.11 | 0.22671451229306064
0.05 | 0.01| 1e-05 | 100 | 0.1 | 0.09391666666666666 | 0.24249612886739283
0.05 | 0.01| 0.001 | 20 | 0.1 | 0.111 | 0.23287765802490668
0.05 | 0.01| 0.0001 | 50 | 0.1 | 0.0915 | 0.24321128077262733
0.05 | 0.01| 1e-06 | 1 | 0.01 | 0.3135 | 0.04175984882783606
0.05 | 0.01| 1e-06 | 10 | 0.01 | 0.346 | 0.025302207270630463
0.05 | 0.01| 0.0001 | 100 | 0.1 | 0.106 | 0.2294368157143524
0.05 | 0.01| 1e-06 | 20 | 0.01 | 0.352 | 0.025109023781189378
0.05 | 0.01| 0.001 | 50 | 0.1 | 0.1 | 0.25689722689044425
0.05 | 0.01| 1e-05 | 1 | 0.01 | 0.194 | 0.08428524452999661
0.05 | 0.01| 1e-05 | 10 | 0.01 | 0.253 | 0.05165795873578795
0.05 | 0.01| 0.001 | 100 | 0.1 | 0.103 | 0.2369207516967282
0.05 | 0.01| 1e-05 | 20 | 0.01 | 0.284 | 0.04634080887841022
0.05 | 0.01| 1e-06 | 50 | 0.01 | 0.3745 | 0.01943137144345481
0.05 | 0.01| 0.0001 | 1 | 0.01 | 0.129 | 0.19026185985780025
0.05 | 0.01| 0.0001 | 10 | 0.01 | 0.109 | 0.21972261051017786
0.05 | 0.01| 1e-06 | 100 | 0.01 | 0.381 | 0.01980610145878219
0.05 | 0.01| 0.0001 | 20 | 0.01 | 0.106 | 0.24001551700953178
0.05 | 0.01| 1e-05 | 50 | 0.01 | 0.295 | 0.041498471554728085
0.05 | 0.01| 0.001 | 1 | 0.01 | 0.098 | 0.2400942569512608
0.05 | 0.01| 0.001 | 10 | 0.01 | 0.115 | 0.2380222526714336
0.05 | 0.01| 1e-05 | 100 | 0.01 | 0.307 | 0.03502934989259387
0.05 | 0.01| 0.001 | 20 | 0.01 | 0.106 | 0.22823279190358553
0.05 | 0.01| 0.0001 | 50 | 0.01 | 0.1 | 0.23954209494839437
0.05 | 0.01| 1e-06 | 1 | 0.001 | 0.245 | 0.055831925534733595
0.05 | 0.01| 1e-06 | 10 | 0.001 | 0.244 | 0.05607994364455198
0.05 | 0.01| 0.0001 | 100 | 0.01 | 0.104 | 0.2449588858534187
0.05 | 0.01| 1e-06 | 20 | 0.001 | 0.261 | 0.048551754034585844
0.05 | 0.01| 0.001 | 50 | 0.01 | 0.121 | 0.22807273606938186
0.05 | 0.01| 1e-05 | 1 | 0.001 | 0.193 | 0.08227239352408972
0.05 | 0.01| 1e-05 | 10 | 0.001 | 0.179 | 0.09498735173637246
0.05 | 0.01| 0.001 | 100 | 0.01 | 0.107 | 0.2320558285739931
0.05 | 0.01| 1e-05 | 20 | 0.001 | 0.219 | 0.06976486491144838
0.05 | 0.01| 1e-06 | 50 | 0.001 | 0.2875 | 0.040088085452262105
0.05 | 0.01| 0.0001 | 1 | 0.001 | 0.131 | 0.15481679709282845
0.05 | 0.01| 0.0001 | 10 | 0.001 | 0.126 | 0.16768364557864973
0.05 | 0.01| 1e-06 | 100 | 0.001 | 0.327 | 0.030427621149536996
0.05 | 0.01| 0.0001 | 20 | 0.001 | 0.127 | 0.16488393794704667
0.05 | 0.01| 1e-05 | 50 | 0.001 | 0.211 | 0.06562174485266584
0.05 | 0.01| 0.001 | 1 | 0.001 | 0.118 | 0.2226751347239986
0.05 | 0.01| 0.001 | 10 | 0.001 | 0.089 | 0.25017316678215884
0.05 | 0.01| 0.001 | 20 | 0.001 | 0.093 | 0.2391880682153162
0.05 | 0.01| 1e-05 | 100 | 0.001 | 0.231 | 0.06206703220961088
0.05 | 0.01| 0.0001 | 50 | 0.001 | 0.104 | 0.19121809570845158
0.05 | 0.01| 1e-06 | 1 | 0.0001 | 0.217 | 0.07041851057926403
0.05 | 0.01| 1e-06 | 10 | 0.0001 | 0.208 | 0.0777441494862234
0.05 | 0.01| 0.0001 | 100 | 0.001 | 0.139 | 0.1649509331600495
0.05 | 0.01| 1e-06 | 20 | 0.0001 | 0.207 | 0.06888171884538687
0.05 | 0.01| 0.001 | 50 | 0.001 | 0.098 | 0.23915331352968194
0.05 | 0.01| 1e-05 | 1 | 0.0001 | 0.1755 | 0.09297866494081392
0.05 | 0.01| 1e-05 | 10 | 0.0001 | 0.145 | 0.12453656296395103
0.05 | 0.01| 0.001 | 100 | 0.001 | 0.09383333333333334 | 0.22805377725675777
0.05 | 0.01| 1e-05 | 20 | 0.0001 | 0.187 | 0.08853254356572231
0.05 | 0.01| 1e-06 | 50 | 0.0001 | 0.213 | 0.06906752000252739
0.05 | 0.01| 0.0001 | 1 | 0.0001 | 0.121 | 0.17155292053033402
0.05 | 0.01| 0.0001 | 10 | 0.0001 | 0.127 | 0.1742139094787096
0.05 | 0.01| 1e-06 | 100 | 0.0001 | 0.215 | 0.07245564701669648
0.05 | 0.01| 0.0001 | 20 | 0.0001 | 0.126 | 0.16696840990152265
0.05 | 0.01| 1e-05 | 50 | 0.0001 | 0.177 | 0.09984460765459996
0.05 | 0.01| 0.001 | 1 | 0.0001 | 0.111 | 0.2204066636015307
0.05 | 0.01| 0.001 | 10 | 0.0001 | 0.10216666666666666 | 0.2473027973841766
0.05 | 0.01| 1e-05 | 100 | 0.0001 | 0.168 | 0.11036908604958864
